"A01AA","CARIES PROPHYLACTIC AGENTS"
"A01AA01","SODIUM FLUORIDE"
"A01AA02","SODIUM MONOFLUOROPHOSPHATE"
"A01AA04","STANNOUS FLUORIDE"
"A01AA30","COMBINATION (CARIES PROPHYLACTIC AGENTS)"
"A01AA51","SODIUM FLUORIDE, COMBINATIONS"
"A01AA52","SODIUM MONOFLUOROPHOSPHATE, COMBINATIONS"
"A01AB","ANTIINFECTIVES FOR LOCAL ORAL TREATMENT"
"A01AB02","HYDROGEN PEROXIDE"
"A01AB03","CHLORHEXIDINE"
"A01AB06","DOMIPHEN"
"A01AB11","VARIOUS"
"A01AB12","HEXETIDINE"
"A01AB22","DOXYCYCLINE"
"A01AB23","MINOCYCLINE"
"A01AC","CORTICOSTEROIDS FOR LOCAL ORAL TREATMENT"
"A01AC01","TRIAMCINOLONE"
"A01AC52","DEXAMETHASONE, COMBINATIONS *"
"A01AC54","PREDNISOLONE, COMBINATIONS"
"A01AD","OTHER AGENTS FOR LOCAL ORAL TREATMENT"
"A01AD01","EPINEPHRINE"
"A01AD02","BENZYDAMINE"
"A01AD11","VARIOUS"
"A01AD51","EPINEPHRINE, COMBINATIONS"
"A02AA01","MAGNESIUM CARBONATE"
"A02AA04","MAGNESIUM HYDROXIDE"
"A02AB01","ALUMINIUM HYDROXIDE"
"A02AC01","CALCIUM CARBONATE"
"A02AD01","ORDINARY SALT COMBINATIONS"
"A02AD02","MAGALDRATE"
"A02AF01","MAGALDRATE AND ANTIFLATULENTS"
"A02AF02","ORDINARY SALT COMBINATIONS AND ANTIFLATULENTS"
"A02AH","ANTACIDS WITH SODIUM BICARBONATE"
"A02AX","ANTACIDS, OTHER COMBINATIONS"
"A02BA01","CIMETIDINE"
"A02BA02","RANITIDINE"
"A02BA03","FAMOTIDINE"
"A02BA04","NIZATIDINE"
"A02BA07","RANITIDINE BISMUTH CITRATE"
"A02BA53","FAMOTIDINE, COMBINATIONS"
"A02BB01","MISOPROSTOL"
"A02BC01","OMEPRAZOLE"
"A02BC02","PANTOPRAZOLE"
"A02BC03","LANSOPRAZOLE"
"A02BC04","RABEPRAZOLE"
"A02BC05","ESOMEPRAZOLE"
"A02BC06","DEXLANSOPRAZOLE"
"A02BD07","LANSOPRAZOLE, AMOXICILLIN AND CLARITHROMYCIN"
"A02BX02","SUCRALFATE"
"A02BX03","PIRENZEPINE"
"A02BX13","ALGINIC ACID"
"A02D","ANTIFLATULENTS"
"A02DA","ANTIFLATULENTS"
"A03AA05","TRIMEBUTINE"
"A03AA07","DICYCLOVERINE"
"A03AA57","DICYCLOVERINE, COMBINATIONS"
"A03AB02","GLYCOPYRRONIUM"
"A03AB05","PROPANTHELINE"
"A03AD01","PAPAVERINE"
"A03AE02","TEGASEROD"
"A03AE04","PRUCALOPRIDE"
"A03AX04","PINAVERIUM"
"A03AX13","SILICONES"
"A03BA01","ATROPINE"
"A03BA03","HYOSCYAMINE"
"A03BA04","BELLADONNA TOTAL ALKALOIDS"
"A03BB01","BUTYLSCOPOLAMINE"
"A03CA01","ISOPROPAMIDE AND PSYCHOLEPTICS"
"A03CA02","CLIDINIUM AND PSYCHOLEPTICS"
"A03ED","ANTISPASMODICS IN COMBINATION WITH OTHER DRUGS"
"A03FA01","METOCLOPRAMIDE"
"A03FA02","CISAPRIDE"
